fecha,codigo,facultad,area,materia,seccion,horario,dias,evaluacion,tipo,inscritos,examinados,modalidad
2022-03-17,REA1-A,Facultad de Ciencias Sociales,ANTROPOLOGIA,REALIDAD NACIONAL,13,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,127,110,EN LINEA
2022-03-17,FOAR2-AC,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA ARQUITECTURA,FOTOGRAFÍA ARTÍSTICA II,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,97,93,EN LINEA
2022-03-17,PERE-C,Facultad de Ciencias Sociales,COMUNICACIONES,PERIODISMO ELECTRÓNICO,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,5,4,EN LINEA
2022-03-17,AYDS-I,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,LENGUAJE UNIFICADO MODELADO (UML),01,09:45-11:15,Ma-Jue,SEGUNDA,ORDINARIA,16,15,PRESENCIAL
2022-03-17,DEL2-D,Facultad de Derecho,DERECHO,DERECHO LABORAL II,04,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,68,60,EN LINEA
2022-03-17,MATE-E,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,MATEMÁTICA I,06,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,66,59,EN LINEA
2022-03-17,TAI7-AC,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA ARQUITECTURA,TALLER INTEGRAL VII,01,06:30-08:00,Ma-Jue-Sab,SEGUNDA,ORDINARIA,40,39,EN LINEA
2022-03-17,DIBA-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,DIBUJO APLICADO,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,58,51,EN LINEA
2022-03-17,ETI2-T,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,MANEJO DE MATERIALES Y ADMINISTRACIÓN DE ALMACENES,03,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,92,88,EN LINEA
2022-03-17,MMPE-H,Facultad de Ciencias Sociales,IDIOMAS,MÉTODOS Y TÉCNICAS PARA LA ENSEÑANZA DEL INGLÉS,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,46,44,EN LINEA
2022-03-17,TPDN-H,Facultad de Ciencias Sociales,PSICOLOGIA,TRATAMIENTO PSIC. INFANTIL,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,88,80,EN LINEA
2022-03-17,MYTI-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN,04,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,101,93,EN LINEA
2022-03-17,ESTR-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,ESTUDIO DEL TRABAJO,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,29,25,EN LINEA
2022-03-17,ALG1-E,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,ALGORITMOS I,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,69,54,EN LINEA
2022-03-17,EXOE-H,Facultad de Ciencias Sociales,IDIOMAS,EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL,09,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,97,91,EN LINEA
